# Geometria del corredor Tijuana-Tecate, para JTT-1395.
# Origen: 200217-IT-B Larguillo ITS Tijuana - Tecate.kmz, entregado por el lider el 20-ago-2026.
# Traza de 724 vertices, anclada a las 29 paletas de kilometraje PK 120..148 del mismo archivo.
# Cubre del PK 120.764 al PK 147.716. Fuera de ese tramo no hay geometria.
# Formato: longitud;latitud;metros   (metros = punto kilometrico normalizado, CA 8)
-116.8033400;32.5504000;142173
-116.8034700;32.5504900;142188
-116.8036300;32.5506100;142208
-116.8036800;32.5506500;142215
-116.8039400;32.5508900;142251
-116.8040500;32.5510200;142269
-116.8041300;32.5511000;142280
-116.8043200;32.5513600;142314
-116.8045400;32.5517400;142361
-116.8046500;32.5519700;142389
-116.8046600;32.5520000;142392
-116.8047100;32.5521400;142408
-116.8047600;32.5523000;142427
-116.8048200;32.5525600;142456
-116.8048600;32.5528600;142490
-116.8048800;32.5532000;142528
-116.8049000;32.5533500;142544
-116.8049100;32.5538600;142601
-116.8049200;32.5541000;142628
-116.8049300;32.5542800;142648
-116.8049800;32.5546300;142687
-116.8049900;32.5546400;142688
-116.8050400;32.5548100;142708
-116.8050500;32.5548700;142714
-116.8051100;32.5550200;142732
-116.8051800;32.5551700;142750
-116.8052500;32.5553000;142766
-116.8052600;32.5553200;142768
-116.8053400;32.5554300;142782
-116.8053700;32.5554700;142788
-116.8054900;32.5556200;142808
-116.8055100;32.5556600;142813
-116.8057300;32.5558700;142844
-116.8059900;32.5560900;142878
-116.8062600;32.5562600;142910
-116.8064300;32.5563400;142928
-116.8065000;32.5563700;142935
-116.8066700;32.5564400;142953
-116.8068500;32.5565100;142972
-116.8071500;32.5566000;143001
-116.8074200;32.5566700;143028
-116.8078300;32.5567800;143068
-116.8085400;32.5569700;143138
-116.8088500;32.5570500;143168
-116.8094600;32.5572100;143227
-116.8096100;32.5572500;143242
-116.8096600;32.5572600;143247
-116.8098700;32.5573100;143267
-116.8106800;32.5575200;143346
-116.8117000;32.5577800;143446
-116.8132500;32.5581800;143597
-116.8138700;32.5583000;143657
-116.8140500;32.5583200;143674
-116.8142200;32.5583300;143690
-116.8143700;32.5583300;143704
-116.8146900;32.5583200;143733
-116.8149100;32.5583000;143754
-116.8151100;32.5582700;143773
-116.8151700;32.5582600;143779
-116.8155300;32.5581900;143813
-116.8158000;32.5581400;143839
-116.8160100;32.5581000;143859
-116.8162100;32.5580600;143878
-116.8163000;32.5580400;143887
-116.8168400;32.5579400;143939
-116.8168600;32.5579400;143941
-116.8170500;32.5579200;143958
-116.8175200;32.5578700;144003
-116.8182100;32.5578700;144068
-116.8189700;32.5579100;144140
-116.8189900;32.5579100;144142
-116.8190700;32.5579100;144149
-116.8191800;32.5579200;144160
-116.8196100;32.5579300;144201
-116.8199200;32.5579500;144230
-116.8200300;32.5579500;144240
-116.8201000;32.5579500;144247
-116.8203100;32.5579500;144267
-116.8207200;32.5579500;144306
-116.8211000;32.5579200;144342
-116.8213900;32.5578700;144370
-116.8215700;32.5578100;144388
-116.8217600;32.5577500;144407
-116.8219800;32.5576600;144430
-116.8223000;32.5574800;144467
-116.8227300;32.5572300;144516
-116.8232000;32.5569600;144570
-116.8233800;32.5568600;144591
-116.8237600;32.5567000;144631
-116.8238300;32.5566700;144638
-116.8241300;32.5565900;144668
-116.8241600;32.5565900;144671
-116.8245100;32.5565200;144705
-116.8248600;32.5564700;144738
-116.8252300;32.5564300;144774
-116.8253900;32.5564300;144789
-116.8256100;32.5564200;144810
-116.8256600;32.5564200;144814
-116.8265100;32.5563900;144895
-116.8267100;32.5563800;144914
-116.8268300;32.5563700;144925
-116.8271600;32.5563200;144957
-116.8274600;32.5562500;144986
-116.8277000;32.5561700;145011
-116.8280700;32.5559900;145051
-116.8282300;32.5558900;145070
-116.8283400;32.5558000;145084
-116.8284700;32.5556800;145102
-116.8285900;32.5555600;145120
-116.8287000;32.5554100;145139
-116.8287300;32.5553600;145145
-116.8288100;32.5552500;145160
-116.8288500;32.5551900;145168
-116.8288900;32.5551300;145175
-116.8290200;32.5549400;145200
-116.8290300;32.5549200;145202
-116.8291200;32.5547800;145220
-116.8292200;32.5546200;145240
-116.8293900;32.5543500;145274
-116.8295200;32.5541800;145297
-116.8296100;32.5540700;145311
-116.8298000;32.5538600;145341
-116.8299700;32.5537200;145363
-116.8302300;32.5535300;145396
-116.8304500;32.5534100;145420
-116.8306700;32.5533200;145443
-116.8310500;32.5531900;145482
-116.8313300;32.5531400;145509
-116.8313400;32.5531400;145510
-116.8314600;32.5531200;145521
-116.8316700;32.5530900;145541
-116.8317700;32.5530800;145550
-116.8318800;32.5530700;145561
-116.8326600;32.5529900;145635
-116.8328700;32.5529600;145655
-116.8331600;32.5529100;145683
-116.8335800;32.5527900;145724
-116.8339900;32.5526500;145766
-116.8347300;32.5523800;145841
-116.8348400;32.5523500;145852
-116.8350800;32.5522800;145876
-116.8352800;32.5522300;145896
-116.8354300;32.5522100;145910
-116.8356500;32.5521900;145931
-116.8358100;32.5522000;145946
-116.8360700;32.5522200;145970
-116.8365000;32.5522900;146011
-116.8369000;32.5523800;146050
-116.8371400;32.5524300;146073
-116.8373600;32.5524800;146094
-116.8376900;32.5525400;146125
-116.8380600;32.5525700;146160
-116.8383600;32.5525700;146188
-116.8385000;32.5525500;146201
-116.8386500;32.5525300;146215
-116.8387900;32.5525000;146228
-116.8390100;32.5524400;146250
-116.8390200;32.5524400;146251
-116.8390800;32.5524300;146256
-116.8391800;32.5523900;146267
-116.8392500;32.5523700;146273
-116.8398500;32.5521800;146333
-116.8401800;32.5520800;146365
-116.8405900;32.5519900;146405
-116.8408400;32.5519500;146428
-116.8409800;32.5519300;146442
-116.8412200;32.5519100;146464
-116.8417000;32.5518900;146509
-116.8421200;32.5518800;146548
-116.8422000;32.5518800;146555
-116.8425400;32.5518400;146587
-116.8426100;32.5518400;146593
-116.8430400;32.5517800;146634
-116.8433400;32.5517200;146662
-116.8436200;32.5516300;146690
